"X","Unnamed..0","Name","Artist","Section","Progression","EndDifferent","NumSectionChords","nonDiatonicChords","extendedChords"
1,1,"Sugar","Maroon 5","Verse","IV-vi-ii-I","",4,0,0
2,2,"Sugar","Maroon 5","Chorus","IV-vi-ii-I","",4,0,0
3,3,"Sugar","Maroon 5","Bridge","IV-vi-ii-I","",4,0,0
0,0,"Mistletoe","Justin Bieber","Verse","I-V-vi-IV-I","",4,0,3
1,1,"Mistletoe","Justin Bieber","Chorus","I-V-vi-IV","",4,0,3
2,2,"Mistletoe","Justin Bieber","Bridge","I-V-vi-IV-I-V-vi-V","",4,0,6
3,3,"Mistletoe","Justin Bieber","Outro","I-V-vi-IV","",4,0,3
0,0,"Better","Khalid","Intro","IV-vi-V-iii","",4,0,1
1,1,"Better","Khalid","Verse ","IV-vi-V-iii","V",4,0,1
2,2,"Better","Khalid","Chorus","iii-IV-vi-V","V-ii",5,0,1
3,3,"Better","Khalid","Bridge","IV-vi-V","",3,0,1
4,4,"Better","Khalid","Outro","IV-vi-V-iii","",4,0,1
0,0,"Come Out and Play","Billie Eilish","Verse","I-I#","",2,1,0
1,1,"Come Out and Play","Billie Eilish","Pre-Chorus","I-I#","",2,1,0
2,2,"Come Out and Play","Billie Eilish","Chorus","ii-V-I-iii-vi","I#",6,1,0
3,3,"Come Out and Play","Billie Eilish","Bridge","I-I#","",2,1,0
0,0,"Idontwannabeyouanymore","Billie Eilish","Intro","I-V-vi-V","",3,0,4
1,1,"Idontwannabeyouanymore","Billie Eilish","Verse ","I-V-vi-V-I-V-vi-II","",5,1,8
2,2,"Idontwannabeyouanymore","Billie Eilish","Chorus","I-V-vi-VII-I-V-vi-II-I-VII-iii","",7,3,10
0,0,"Speak Now","Taylor Swift","Intro","I","",1,0,0
1,1,"Speak Now","Taylor Swift","Verse","I-V-ii-IV","IV-V",4,0,0
2,2,"Speak Now","Taylor Swift","Chorus","I-V-ii-IV","ii",4,0,0
0,0,"Location","Khalid","Chorus","vi-iii-IV-ii","",4,0,0
1,1,"Location","Khalid","Verse ","vi-iii-IV-ii","",4,0,0
2,2,"Location","Khalid","Outro","vi-iii-IV-ii","",4,0,0
0,0,"Listen Before i Go","Billie Eilish","Verse ","IV-III-vi-I","",4,1,4
1,1,"Listen Before i Go","Billie Eilish","Pre-Chorus","IV-III-vi-I","",4,1,4
2,2,"Listen Before i Go","Billie Eilish","Chorus","IV-III-vi-I-IV-III-vi","",5,2,6
3,3,"Listen Before i Go","Billie Eilish","Outro","ii-V-I-IV","",4,0,1
